University,URL
Wagner College,wagner.edu
Warner Southern College,warner.edu
Wayne State University,wayne.edu
Illinois Institute of Technology,web.iit.edu
Massachusetts Institute of Technology,web.mit.edu
Southern Arkansas University,web.saumag.edu
Webber International University,webber.edu
Purdue University Calumet,webs.purduecal.edu
University of Miami,welcome.miami.edu
Western International University,west.edu
Western Michigan University,wmich.edu
Western New England College,wne.edu
Woodbury University,woodbury.edu
Washington State University,wsu.edu
Washington University in St. Louis,wustl.edu
Otto-von-Guericke Universitat Magdeburg,www.uni-magdeburg.de
McMurry University,ww2.mcm.edu
Hochschule Darmstadt,www.h-da.de
Pennsylvania State University Altoona,www.aa.psu.edu
Alabama A and M University,www.aamu.edu
Aalborg University,www.aau.dk
University of Aberdeen,www.abdn.ac.uk
American College of Education [IL],www.ace.edu
Albany College of Pharmacy,www.acphs.edu
Abilene Christian University,www.acu.edu
Adams State College,www.adams.edu
DeVry University-DuPage,www.add.devry.edu
Adelphi University,www.adelphi.edu
Adler School of Professional Psychology,www.adler.edu
Florida Hospital College of Health Sciences,www.adu.edu
Air Force Institute of Technology,www.afit.edu
Agnes Scott College,www.agnesscott.edu
American International College,www.aic.edu
American Indian College of the Assemblies of God,www.aicag.edu
American InterContinental University,www.aiuniv.edu
University of Judaism,www.aju.edu
Alaska Bible College,www.akbible.edu
University of Alaska,www.alaska.edu
Alaska Pacific University,www.alaskapacific.edu
Alabama State University,www.alasu.edu
SUNY Albany,www.albany.edu
Albion College,www.albion.edu
Carlos Albizu University-Miami,www.albizu.edu
Albright College,www.albright.edu
Alcorn State University,www.alcorn.edu
Alfred University,www.alfred.edu
SUNY College of Technology at Alfred [Alfred State University],www.alfredstate.edu
Allen College,www.allencollege.edu
Alliant International University,www.alliant.edu
Alma College,www.alma.edu
Alvernia College,www.alvernia.edu
Alverno College,www.alverno.edu
Ambassador University [closed spring 1997],www.ambassador.edu
Amberton University,www.amberton.edu
Albany Medical College,www.amc.edu
American University,www.american.edu
Amherst College,www.amherst.edu
Anderson University,www.anderson.edu
Andrews University,www.andrews.edu
Angelo State University,www.angelo.edu
Anna Maria College,www.annamaria.edu
Saint Anselm College,www.anselm.edu
Antioch College,www.antiochcollege.org
Antioch University-Los Angeles,www.antiochla.edu
Antioch University-Seattle,www.antiochseattle.edu
Australian National University,www.anu.edu.au
Appalachian State University,www.appstate.edu
Austin Peay State University,www.apsu.edu
Azusa Pacific University,www.apu.edu
Aquinas College,www.aquinas.edu
Spring Arbor University,www.arbor.edu
Arcadia University,www.arcadia.edu
Argosy University,www.argosy.edu
University of Arizona,www.arizona.edu
Arkansas Baptist College,www.arkansasbaptist.edu
Arlington Baptist College,www.arlingtonbaptistcollege.edu
Armstrong Atlantic State University,www.armstrong.edu
Art Academy of Cincinnati,www.artacademy.edu
Art Center College of Design,www.artcenter.edu
Art Institute of Atlanta,www.artinstitutes.edu
Art Institute of Dallas,www.artinstitutes.edu
Art Institute of Houston,www.artinstitutes.edu
Art Institute of Portland,www.artinstitutes.edu
Art Institute of Seattle,www.artinstitutes.edu
Miami International University of Art and Design,www.artinstitutes.edu
Asbury College,www.asbury.edu
Ashland University,www.ashland.edu
Assumption College,www.assumption.edu
"Arkansas State University, Jonesboro",www.astate.edu
Arizona State University,www.asu.edu
Albany State University,www.asurams.edu
Athens State University,www.athens.edu
University of Devry-Georgia,www.atl.devry.edu
Arkansas Tech University,www.atu.edu
Air University,www.au.af.mil
Auburn University,www.auburn.edu
Atlantic Union College,www.auc.edu
University of Auckland,www.auckland.ac.nz
Augsburg College,www.augsburg.edu
Augustana College,www.augustana.edu
Auburn University at Montgomery,www.aum.edu
Aurora University,www.aurora.edu
Austin College,www.austincollege.edu
Austin Presbyterian Theological Seminary,www.austinseminary.edu
Averett College,www.averett.edu
Avila College,www.avila.edu
Babson College,www.babson.edu
Bacone College,www.bacone.edu
Baker College,www.baker.edu
Baker University,www.bakeru.edu
Bank Street College of Education,www.bankstreet.edu
The Baptist College of Florida,www.baptistcollege.edu
Barclay College,www.barclaycollege.edu
Bard College,www.bard.edu
Barry University,www.barry.edu
Barton College,www.barton.edu
City University of New York Baruch College,www.baruch.cuny.edu
Bastyr University,www.bastyr.edu
Bates College,www.bates.edu
Bauder College,www.bauder.edu
Baylor University,www.baylor.edu
Bay Path College,www.baypath.edu
Baptist Bible College,www.bbc.edu
Boston College,www.bc.edu
Baptist Memorial College of Health Sciences,www.bchs.edu
British Columbia Institute of Technology,www.bcit.ca
Baylor College of Medicine,www.bcm.edu
Beacon College,www.beaconcollege.edu
Becker College,www.becker.edu
Belhaven College,www.belhaven.edu
Bellevue University,www.bellevue.edu
Belmont University,www.belmont.edu
Bemidji State University,www.bemidjistate.edu
Benedictine University,www.ben.edu
Benedictine College,www.benedictine.edu
Bennett College,www.bennett.edu
Bentley College,www.bentley.edu
Berea College,www.berea.edu
Berklee College of Music,www.berklee.edu
Berry College,www.berry.edu
Bethany College,www.bethanylb.edu
Bethel College,www.bethelcollege.edu
Benjamin Franklin Institute of Technology,www.bfit.edu
Boston Graduate School of Psychoanalysis,www.bgsp.edu
Bowling Green State University,www.bgsu.edu
Washington Bible College,www.bible.edu
Washington Bible College/Capital Bible Seminary,www.bible.edu
SUNY Binghamton,www.binghamton.edu
Biola University,www.biola.edu
Pennsylvania State University Berks,www.bk.psu.edu
Bloomfield College,www.bloomfield.edu
Bloomsburg University of Pennsylvania,www.bloomu.edu
Bluefield College,www.bluefield.edu
Bluffton University,www.bluffton.edu
Blue Mountain College,www.bmc.edu
Boise State University,www.boisestate.edu
Boricua College,www.boricuacollege.edu
Boston Conservatory,www.bostonconservatory.edu
Bowdoin College,www.bowdoin.edu
Brewton-Parker College,www.bpc.edu
Pennsylvania State University Beaver,www.br.psu.edu
Bradley University,www.bradley.edu
Brandeis University,www.brandeis.edu
Brenau University,www.brenau.edu
University of Bridgeport,www.bridgeport.edu
Bridgewater State College,www.bridgew.edu
Bridgewater College,www.bridgewater.edu
University of Bristol,www.bristol.ac.uk
SUNY College at Brockport,www.brockport.edu
Brock University,www.brocku.ca
City University of New York Brooklyn College,www.brooklyn.cuny.edu
Brown University,www.brown.edu
Bryan College,www.bryan.edu
Bryn Athyn College of the New Church,www.brynathyn.edu
Bryn Mawr College,www.brynmawr.edu
Barber-Scotia College,www.b-sc.edu
Birmingham-Southern College,www.bsc.edu
Brandenburgische Technische Universitat Cottbus,www.b-tu.de
Boston University,www.bu.edu
Bethesda Christian University,www.buc.edu
Bucknell University,www.bucknell.edu
SUNY Buffalo,www.buffalo.edu
Butler University,www.butler.edu
Baldwin-Wallace College,www.bw.edu
Brigham Young University,www.byu.edu
Cabrini College,www.cabrini.edu
California Baptist University,www.calbaptist.edu
Caldwell College,www.caldwell.edu
California Lutheran University,www.callutheran.edu
"California Polytechnic State University, San Luis Obispo",www.calpoly.edu
California State University Los Angeles,www.calstatela.edu
California Institute of Technology,www.caltech.edu
California University of Pennsylvania,www.calu.edu
Calvin College,www.calvin.edu
University of Cambridge,www.cam.ac.uk
Cambridge College,www.cambridgecollege.edu
Rutgers University Camden,www.camden.rutgers.edu
Cameron University,www.cameron.edu
Campbell University,www.campbell.edu
Campbellsville University,www.campbellsville.edu
Canisius College,www.canisius.edu
SUNY College of Technology at Canton,www.canton.edu
Capella University,www.capella.edu
Capital University,www.capital.edu
Carlow College,www.carlow.edu
Carroll College,www.carroll.edu
Case Western Reserve University,www.case.edu
Clark Atlanta University,www.cau.edu
Cazenovia College,www.cazenovia.edu
Central Baptist College,www.cbc.edu
Christian Brothers University,www.cbu.edu
California College of the Arts,www.cca.edu
Columbus College of Art and Design,www.ccad.edu
Concordia College-Selma,www.ccal.edu
Calumet College of St. Joseph,www.ccsj.edu
Central Connecticut State University,www.ccsu.edu
Colorado Christian University,www.ccu.edu
Charles R. Drew University of Medicine and Science,www.cdrewu.edu
Cedar Crest College,www.cedarcrest.edu
Cedarville University,www.cedarville.edu
Centenary College of Louisiana,www.centenary.edu
Centenary College,www.centenarycollege.edu
Central College,www.central.edu
Central Christian College,www.centralchristian.edu
Central Methodist University,www.centralmethodist.edu
Central State University,www.centralstate.edu
United States Coast Guard Academy,www.cga.edu
Chalmers University of Technology,www.chalmers.se
Chaminade University,www.chaminade.edu
David N. Myers University,www.chancelloru.edu
Chapman University,www.chapman.edu
Chatham College,www.chatham.edu
Chestnut Hill College,www.chc.edu
Chesapeake College,www.chesapeake.edu
Cheyney University,www.cheyney.edu
Chipola College,www.chipola.edu
Christendom College,www.christendom.edu
Cleveland Institute of Art,www.cia.edu
Culinary Institute of America,www.ciachef.edu
California Institute of Integral Studies,www.ciis.edu
Cleveland Institute of Music,www.cim.edu
City University,www.cityu.edu
Claflin University,www.claflin.edu
Clarion University of Pennsylvania,www.clarion.edu
Clarke College,www.clarke.edu
Clarkson University,www.clarkson.edu
Clark University,www.clarku.edu
Clayton College and State University,www.clayton.edu
Clearwater Christian College,www.clearwater.edu
Cleary College,www.cleary.edu
Clemson University,www.clemson.edu
Cleveland Chiropractic College,www.cleveland.edu
Central Michigan University,www.cmich.edu
Carnegie Mellon University,www.cmu.edu
Carson-Newman College,www.cn.edu
College of New Rochelle,www.cnr.edu
College of the Atlantic,www.coa.edu
College of DuPage,www.cod.edu
College of the Ozarks,www.cofo.edu
Cogswell Polytechnical College,www.cogswell.edu
Henry Cogswell College,www.cogswell.edu
Colgate University,www.colgate.edu
College for Creative Studies,www.collegeforcreativestudies.edu
Albertson College of Idaho,www.collegeofidaho.edu
University of Colorado Boulder,www.colorado.edu
Colorado College,www.coloradocollege.edu
Colorado Technical University,www.coloradotech.edu
Colorado State University,www.colostate.edu
Columbia College,www.colum.edu
Columbia University,www.columbia.edu
Columbus State University,www.columbusstate.edu
Concord University,www.concord.edu
Concordia University-Austin,www.concordia.edu
Concordia College-Bronxville,www.concordia-ny.edu
Connecticut College,www.conncoll.edu
Bethune-Cookman College,www.cookman.edu
The Cooper Union for the Advancement of Science and Art,www.cooper.edu
Coppin State University,www.coppin.edu
Cornell University,www.cornell.edu
Cornell College,www.cornellcollege.edu
Cornerstone University,www.cornerstone.edu
SUNY College at Cortland,www.cortland.edu
Covenant College,www.covenant.edu
"California State Polytechnic University, Pomona",www.cpp.edu
California Pacific University,www.cpu.edu
Cranfield University,www.cranfield.ac.uk
Creighton University,www.creighton.edu
Criswell College,www.criswell.edu
University of Minnesota Crookston,www.crk.umn.edu
University of Toronto,www.cs.toronto.edu
College of Saint Elizabeth,www.cse.edu
City University of New York College of Staten Island,www.csi.cuny.edu
Chicago State University,www.csu.edu
California State University Bakersfield,www.csub.edu
California State University Chico,www.csuchico.edu
California State University Channel Islands,www.csuci.edu
California State University Dominguez Hills,www.csudh.edu
California State University East Bay,www.csueastbay.edu
California State University Long Beach,www.csulb.edu
California Maritime Academy,www.csum.edu
California State University Northridge,www.csun.edu
Cleveland State University,www.csuohio.edu
Colorado State University-Pueblo,www.csupueblo.edu
California State University Sacramento,www.csus.edu
California State University San Bernardino,www.csusb.edu
California State University San Marcos,www.csusm.edu
California State University Stanislaus,www.csustan.edu
Christian Theological Seminary,www.cts.edu
Concordia Theological Seminary-Fort Wayne,www.ctsfw.edu
The Catholic University of America,www.cua.edu
Concordia College-Ann Arbor,www.cuaa.edu
Concordia University,www.cuchicago.edu
Concordia University-River Forest,www.cuchicago.edu
Concordia University-Irvine,www.cui.edu
Cumberland University,www.cumberland.edu
City University of New York City College,www.cuny.edu
City University of New York New York City College of Technology,www.cuny.edu
Concordia University-Portland,www.cu-portland.edu
Curry College,www.curry.edu
Curtis Institute of Music,www.curtis.edu
Concordia University-Wisconsin,www.cuw.edu
Central Washington University,www.cwu.edu
University of Minnesota Duluth,www.d.umn.edu
Daemen College,www.daemen.edu
Dalhousie University,www.dal.ca
DeVry University-Dallas,www.dal.devry.edu
Dallas Christian College,www.dallas.edu
Dalton State College,www.daltonstate.edu
Davenport University,www.davenport.edu
Davidson College,www.davidson.edu
University of Dubuque,www.dbq.edu
Dallas Baptist University,www.dbu.edu
Dominican College,www.dc.edu
Defiance College,www.defiance.edu
SUNY College of Technology at Delhi,www.delhi.edu
Delta State University,www.deltastate.edu
Delaware Valley College,www.delval.edu
DePaul University,www.depaul.edu
DePauw University,www.depauw.edu
DeSales University,www.desales.edu
Delaware State University,www.desu.edu
DeVry University,www.devry.edu
DeVry University-Chicago,www.devry.edu
DeVry University-Crystal City,www.devry.edu
DeVry University-Orlando,www.devry.edu
DeVry University-Pomona,www.devry.edu
Davis and Elkins College,www.dewv.edu
Dickinson College,www.dickinson.edu
Dickinson State University,www.dickinsonstate.edu
DigiPen Institute of Technology,www.digipen.edu
Dillard University,www.dillard.edu
Defense Language Institute,www.dliflc.edu
Des Moines University-Osteopathic Medical Center,www.dmu.edu
Dominican University,www.dom.edu
Dominican University of California,www.dominican.edu
Dowling College,www.dowling.edu
SUNY Downstate Medical Center,www.downstate.edu
Drake University,www.drake.edu
Drew University,www.drew.edu
Drexel University,www.drexel.edu
Pennsylvania State University DuBois,www.ds.psu.edu
Dominican School of Philosophy and Theology,www.dspt.edu
Dallas Theological Seminary,www.dts.edu
Technical University of Denmark,www.dtu.dk
University of Denver,www.du.edu
Duquesne University,www.duq.edu
Daniel Webster College,www.dwc.edu
Dakota Wesleyan University,www.dwu.edu
D闂傚倷鑳堕崢褔鎮洪妸褏纾奸柕濞у嫮鍊瀘uville College,www.dyc.edu
Earlham College,www.earlham.edu
Eastern College,www.easterncollege.edu
East-West University,www.eastwest.edu
European Business School Schlob Reichartshausen,www.ebs.edu
Eckerd College,www.eckerd.edu
East Central University,www.ecok.edu
ECPI College of Technology,www.ecpi.edu
Elizabeth City State University,www.ecsu.edu
East Carolina University,www.ecu.edu
Edinboro University of Pennsylvania,www.edinboro.edu
Emory and Henry College,www.ehc.edu
Eastern Illinois University,www.eiu.edu
Eastern Kentucky University,www.eku.edu
Elmhurst College,www.elmhurst.edu
Elmira College,www.elmira.edu
Elms College,www.elms.edu
Elon University,www.elon.edu
Emerson College,www.emerson.edu
Eastern Michigan University,www.emich.edu
Emmanuel College,www.emmanuel.edu
Emory University,www.emory.edu
Emporia State University,www.emporia.edu
Eastern Mennonite University,www.emu.edu
Ludwig-Maximilians-Universitat Munchen,www.en.uni-muenchen.de
Eastern Nazarene College,www.enc.edu
Eastern New Mexico University,www.enmu.edu
Eastern Oregon University,www.eou.edu
Swiss Federal Institute of Technology - Lausanne,www.epfl.ch
Embry-Riddle Aeronautical University,www.erau.edu
Erikson Institute,www.erikson.edu
SUNY Empire State College,www.esc.edu
SUNY College of Environmental Science and Forestry,www.esf.edu
Ecole Superieure des Sciences Economiques et Commerciales,www.essec.fr
East Texas Baptist University,www.etbu.edu
Swiss Federal Institute of Technology - Zurich,www.ethz.ch
Elizabethtown College,www.etown.edu
East Tennessee State University,www.etsu.edu
Eureka College,www.eureka.edu
University of Evansville,www.evansville.edu
Eastern Virginia Medical School,www.evms.edu
Edward Waters College,www.ewc.edu
Eastern Washington University,www.ewu.edu
Excelsior College,www.excelsior.edu
Fairfield University,www.fairfield.edu
Florida Agricultural and Mechanical University,www.famu.edu
SUNY College of Technology at Farmingdale [Farmingdale State University],www.farmingdale.edu
Friedrich-Alexander Universitat Erlangen-Nurnberg,www.fau.de
Florida Atlantic University,www.fau.edu
Faulkner University,www.faulkner.edu
Fairleigh Dickinson University,www.fdu.edu
Pennsylvania State University Fayette,www.fe.psu.edu
Felician College,www.felician.edu
Ferris State University,www.ferris.edu
Ferrum College,www.ferrum.edu
Florida Gulf Coast University,www.fgcu.edu
Fachhochschule Koln,www.fh-koeln.de
Fachhochschule Aachen,www.fh-aachen.de
Fort Hays State University,www.fhsu.edu
Freed-Hardeman University,www.fhu.edu
Fielding Graduate Institute,www.fielding.edu
The University of Findlay,www.findlay.edu
Finlandia University,www.finlandia.edu
Fisk University,www.fisk.edu
Florida Institute of Technology,www.fit.edu
Fitchburg State College,www.fitchburgstate.edu
SUNY Fashion Institute of Technology,www.fitnyc.edu
Florida International University,www.fiu.edu
Flagler College,www.flagler.edu
Florida College,www.floridacollege.edu
Florida Southern College,www.flsouthern.edu
Southern College,www.flsouthern.edu
Francis Marion University,www.fmarion.edu
Florida Memorial College,www.fmuniv.edu
Fordham University,www.fordham.edu
Fort Lewis College,www.fortlewis.edu
Framingham State College,www.framingham.edu
Franciscan University of Steubenville,www.franciscan.edu
Franklin University,www.franklin.edu
Franklin College,www.franklincollege.edu
Franklin Pierce College,www.franklinpierce.edu
Fresno Pacific University,www.fresno.edu
California State University Fresno,www.fresnostate.edu
Friends University,www.friends.edu
Frostburg State University,www.frostburg.edu
Florida State University,www.fsu.edu
Five Towns College,www.ftc.edu
Freie Universitat Berlin,www.fu-berlin.de
California State University Fullerton,www.fullerton.edu
Pennsylvania State University McKeesport,www.ga.psu.edu
Gallaudet University,www.gallaudet.edu
Gannon University,www.gannon.edu
Gardner-Webb University,www.gardner-webb.edu
Georgia Institute of Technology,www.gatech.edu
Goldey-Beacom College,www.gbc.edu
Great Basin College,www.gbcnv.edu
Grace Bible College,www.gbcol.edu
City University of New York Graduate School and University Center,www.gc.cuny.edu
Georgia College and State University,www.gcsu.edu
Grand Canyon University,www.gcu.edu
SUNY College at Geneseo,www.geneseo.edu
Geneva College,www.geneva.edu
Georgetown University,www.georgetown.edu
Georgetown College,www.georgetowncollege.edu
Georgian Court College,www.georgian.edu
Georgia Southern University,www.georgiasouthern.edu
Golden Gate University,www.ggu.edu
George Mason University,www.gmu.edu
Gonzaga University,www.gonzaga.edu
Gordon College,www.gordon.edu
Goshen College,www.goshen.edu
Mount Vernon Nazarene University,www.gotomvnu.com
Goucher College,www.goucher.edu
Governors State University,www.govst.edu
Grace College,www.grace.edu
Grace University,www.graceuniversity.edu
Greensboro College,www.greensboro.edu
University of Pittsburgh Greensburg,www.greensburg.pitt.edu
Greenville College,www.greenville.edu
Georgia State University,www.gsu.edu
Guilford College,www.guilford.edu
Grand Valley State University,www.gvsu.edu
George Washington University at Mount Vernon College,www.gwu.edu
Hamilton College,www.hamilton.edu
Hamline University,www.hamline.edu
Hampshire College,www.hampshire.edu
Hampton University,www.hamptonu.edu
Hogeschool van Arnhem en Nijmegen,www.han.nl
Hanover College,www.hanover.edu
Harding University,www.harding.edu
University of Hartford,www.hartford.edu
Hartwick College,www.hartwick.edu
Harvard University,www.harvard.edu
Haskell Indian Nations University,www.haskell.edu
Haverford College in Pennsylvania,www.haverford.edu
Fachhochschule Bonn-Rhein-Sieg,www.h-brs.de
Houston Baptist University,www.hbu.edu
Holy Cross College,www.hcc-nd.edu
Oklahoma State University Center for Health Sciences,www.healthscience...
Ecole des Hautes Etudes Commerciales,www.hec.fr
Ecole des Hautes Etudes Industrielles de Lille,www.hei.fr
Heidelberg College,www.heidelberg.edu
Hendrix College,www.hendrix.edu
Heritage University,www.heritage.edu
Hesston College,www.hesston.edu
Bergen University College,www.hib.no
High Point University,www.highpoint.edu
Hilbert College,www.hilbert.edu
Hillsdale College,www.hillsdale.edu
Hiram College,www.hiram.edu
Hope International University,www.hiu.edu
Pennsylvania State University Hazleton,www.hn.psu.edu
Holy Names University,www.hnu.edu
Hofstra University,www.hofstra.edu
Hollins University,www.hollins.edu
College of the Holy Cross,www.holycross.edu
Hood College,www.hood.edu
Hope College,www.hope.edu
Houghton College,www.houghton.edu
Hawaii Pacific University,www.hpu.edu
Howard Payne University,www.hputx.edu
Hochschule Bremerhaven,www.hs-bremerhaven.de
Hampden-Sydney College,www.hsc.edu
Hochschule Esslingen,www.hs-esslingen.de
Henderson State University,www.hsu.edu
Hardin-Simmons University,www.hsutx.edu
Fachhochschule Ravensburg-Weingarten,www.hs-weingarten.de
Fachhochschule fur Technik und Wirtschaft Berlin,www.htw-berlin.de
University of Huddersfield,www.hud.ac.uk
Hult International Business School,www.hult.edu
Humboldt State University,www.humboldt.edu
Humphreys College,www.humphreys.edu
City University of New York Hunter College,www.hunter.cuny.edu
Huntingdon College,www.huntingdon.edu
Huntington University,www.huntington.edu
Hobart and William Smith Colleges,www.hws.edu
Iowa State University,www.iastate.edu
Illinois College,www.ic.edu
International College,www.ic.edu.lb
Imperial College London,www.imperial.ac.uk
Indiana University-Bloomington,www.indiana.edu
Indiana Institute of Technology,www.indianatech.edu
Indiana State University,www.indstate.edu
Indiana Wesleyan University,www.indwes.edu
Iona College,www.iona.edu
Indiana University/Purdue University at Fort Wayne,www.ipfw.edu
Idaho State University,www.isu.edu
Interdenominational Theological Center,www.itc.edu
Ithaca College,www.ithaca.edu
Indiana University-East,www.iue.edu
Indiana University-Kokomo,www.iuk.edu
Indiana University-Northwest,www.iun.edu
Indiana University of Pennsylvania,www.iup.edu
Indiana University/Purdue University at Columbus,www.iupuc.edu
Indiana University/Purdue University at Indianapolis,www.iupui.edu
Indiana University-Southeast,www.ius.edu
Indiana University-South Bend,www.iusb.edu
Iowa Wesleyan College,www.iwc.edu
Illinois Wesleyan University,www.iwu.edu
Jarvis Christian College,www.jarvis.edu
John Brown University,www.jbu.edu
Jefferson College of Health Sciences,www.jchs.edu
Johnson C. Smith University,www.jcsu.edu
